FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,VALUATION,Valutazione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valutazione (NOTE_VALUATION),NOTE_ADJUSTMENT,Correzione (NOTE_ADJUSTMENT),NOTE_EDITION,Edizione (NOTE_EDITION),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1996-Q1,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1996-Q2,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1996-Q3,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1996-Q4,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1997-Q1,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1997-Q2,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1997-Q3,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1997-Q4,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1998-Q1,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,B1GQ_1,LATO DELLA PRODUZIONE,L_2020,Valori concatenati con anno di riferimento 2020,Y,Dati destagionalizzati,2025M11,Nov-2025,1998-Q2,..,t,È voce da considerarsi come titolo di raggruppamento,,,,,VAL__L_2020_N1,'Valori concatenati con anno di riferimento 2020: il concatenamento fornisce una misura dell"'aggregato economico di interesse in termini di volume, ossia al netto della dinamica dei prezzi ad esso sottostanti. Si noti che la somma dei valori concatenati delle componenti di un aggregato non è uguale al valore concatenato dell"'aggregato stesso.',CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
